id_national,name,types,image,link,Species,height,weight
4,Charmander,"[""Fire""]",https://img.pokemondb.net/sprites/home/normal/2x/charmander.jpg,https://pokemondb.net/pokedex/charmander,Lizard Pokémon,0.6 m (2′00″),8.5 kg (18.7 lbs)
5,Charmeleon,"[""Fire""]",https://img.pokemondb.net/sprites/home/normal/2x/charmeleon.jpg,https://pokemondb.net/pokedex/charmeleon,Flame Pokémon,1.1 m (3′07″),19.0 kg (41.9 lbs)
6,Charizard,"[""Fire"", ""Flying""]",https://img.pokemondb.net/sprites/home/normal/2x/charizard.jpg,https://pokemondb.net/pokedex/charizard,Flame Pokémon,1.7 m (5′07″),90.5 kg (199.5 lbs)
37,Vulpix,"[""Fire""]",https://img.pokemondb.net/sprites/home/normal/2x/vulpix.jpg,https://pokemondb.net/pokedex/vulpix,Fox Pokémon,0.6 m (2′00″),9.9 kg (21.8 lbs)
38,Ninetales,"[""Fire""]",https://img.pokemondb.net/sprites/home/normal/2x/ninetales.jpg,https://pokemondb.net/pokedex/ninetales,Fox Pokémon,1.1 m (3′07″),19.9 kg (43.9 lbs)
58,Growlithe,"[""Fire""]",https://img.pokemondb.net/sprites/home/normal/2x/growlithe.jpg,https://pokemondb.net/pokedex/growlithe,Puppy Pokémon,0.7 m (2′04″),19.0 kg (41.9 lbs)
59,Arcanine,"[""Fire""]",https://img.pokemondb.net/sprites/home/normal/2x/arcanine.jpg,https://pokemondb.net/pokedex/arcanine,Legendary Pokémon,1.9 m (6′03″),155.0 kg (341.7 lbs)
77,Ponyta,"[""Fire""]",https://img.pokemondb.net/sprites/home/normal/2x/ponyta.jpg,https://pokemondb.net/pokedex/ponyta,Fire Horse Pokémon,1.0 m (3′03″),30.0 kg (66.1 lbs)
78,Rapidash,"[""Fire""]",https://img.pokemondb.net/sprites/home/normal/2x/rapidash.jpg,https://pokemondb.net/pokedex/rapidash,Fire Horse Pokémon,1.7 m (5′07″),95.0 kg (209.4 lbs)
126,Magmar,"[""Fire""]",https://img.pokemondb.net/sprites/home/normal/2x/magmar.jpg,https://pokemondb.net/pokedex/magmar,Spitfire Pokémon,1.3 m (4′03″),44.5 kg (98.1 lbs)
136,Flareon,"[""Fire""]",https://img.pokemondb.net/sprites/home/normal/2x/flareon.jpg,https://pokemondb.net/pokedex/flareon,Flame Pokémon,0.9 m (2′11″),25.0 kg (55.1 lbs)
146,Moltres,"[""Fire"", ""Flying""]",https://img.pokemondb.net/sprites/home/normal/2x/moltres.jpg,https://pokemondb.net/pokedex/moltres,Flame Pokémon,2.0 m (6′07″),60.0 kg (132.3 lbs)
