id_national,name,types,image,link,Species,height,weight
1,Bulbasaur,"[""Grass"", ""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/bulbasaur.jpg,https://pokemondb.net/pokedex/bulbasaur,Seed Pokémon,0.7 m (2′04″),6.9 kg (15.2 lbs)
2,Ivysaur,"[""Grass"", ""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/ivysaur.jpg,https://pokemondb.net/pokedex/ivysaur,Seed Pokémon,1.0 m (3′03″),13.0 kg (28.7 lbs)
3,Venusaur,"[""Grass"", ""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/venusaur.jpg,https://pokemondb.net/pokedex/venusaur,Seed Pokémon,2.0 m (6′07″),100.0 kg (220.5 lbs)
43,Oddish,"[""Grass"", ""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/oddish.jpg,https://pokemondb.net/pokedex/oddish,Weed Pokémon,0.5 m (1′08″),5.4 kg (11.9 lbs)
44,Gloom,"[""Grass"", ""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/gloom.jpg,https://pokemondb.net/pokedex/gloom,Weed Pokémon,0.8 m (2′07″),8.6 kg (19.0 lbs)
45,Vileplume,"[""Grass"", ""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/vileplume.jpg,https://pokemondb.net/pokedex/vileplume,Flower Pokémon,1.2 m (3′11″),18.6 kg (41.0 lbs)
46,Paras,"[""Bug"", ""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/paras.jpg,https://pokemondb.net/pokedex/paras,Mushroom Pokémon,0.3 m (1′00″),5.4 kg (11.9 lbs)
47,Parasect,"[""Bug"", ""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/parasect.jpg,https://pokemondb.net/pokedex/parasect,Mushroom Pokémon,1.0 m (3′03″),29.5 kg (65.0 lbs)
69,Bellsprout,"[""Grass"", ""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/bellsprout.jpg,https://pokemondb.net/pokedex/bellsprout,Flower Pokémon,0.7 m (2′04″),4.0 kg (8.8 lbs)
70,Weepinbell,"[""Grass"", ""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/weepinbell.jpg,https://pokemondb.net/pokedex/weepinbell,Flycatcher Pokémon,1.0 m (3′03″),6.4 kg (14.1 lbs)
71,Victreebel,"[""Grass"", ""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/victreebel.jpg,https://pokemondb.net/pokedex/victreebel,Flycatcher Pokémon,1.7 m (5′07″),15.5 kg (34.2 lbs)
102,Exeggcute,"[""Grass"", ""Psychic""]",https://img.pokemondb.net/sprites/home/normal/2x/exeggcute.jpg,https://pokemondb.net/pokedex/exeggcute,Egg Pokémon,0.4 m (1′04″),2.5 kg (5.5 lbs)
103,Exeggutor,"[""Grass"", ""Psychic""]",https://img.pokemondb.net/sprites/home/normal/2x/exeggutor.jpg,https://pokemondb.net/pokedex/exeggutor,Coconut Pokémon,2.0 m (6′07″),120.0 kg (264.6 lbs)
114,Tangela,"[""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/tangela.jpg,https://pokemondb.net/pokedex/tangela,Vine Pokémon,1.0 m (3′03″),35.0 kg (77.2 lbs)
152,Chikorita,"[""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/chikorita.jpg,https://pokemondb.net/pokedex/chikorita,Leaf Pokémon,0.9 m (2′11″),6.4 kg (14.1 lbs)
153,Bayleef,"[""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/bayleef.jpg,https://pokemondb.net/pokedex/bayleef,Leaf Pokémon,1.2 m (3′11″),15.8 kg (34.8 lbs)
154,Meganium,"[""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/meganium.jpg,https://pokemondb.net/pokedex/meganium,Herb Pokémon,1.8 m (5′11″),100.5 kg (221.6 lbs)
182,Bellossom,"[""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/bellossom.jpg,https://pokemondb.net/pokedex/bellossom,Flower Pokémon,0.4 m (1′04″),5.8 kg (12.8 lbs)
187,Hoppip,"[""Grass"", ""Flying""]",https://img.pokemondb.net/sprites/home/normal/2x/hoppip.jpg,https://pokemondb.net/pokedex/hoppip,Cottonweed Pokémon,0.4 m (1′04″),0.5 kg (1.1 lbs)
188,Skiploom,"[""Grass"", ""Flying""]",https://img.pokemondb.net/sprites/home/normal/2x/skiploom.jpg,https://pokemondb.net/pokedex/skiploom,Cottonweed Pokémon,0.6 m (2′00″),1.0 kg (2.2 lbs)
189,Jumpluff,"[""Grass"", ""Flying""]",https://img.pokemondb.net/sprites/home/normal/2x/jumpluff.jpg,https://pokemondb.net/pokedex/jumpluff,Cottonweed Pokémon,0.8 m (2′07″),3.0 kg (6.6 lbs)
191,Sunkern,"[""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/sunkern.jpg,https://pokemondb.net/pokedex/sunkern,Seed Pokémon,0.3 m (1′00″),1.8 kg (4.0 lbs)
192,Sunflora,"[""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/sunflora.jpg,https://pokemondb.net/pokedex/sunflora,Sun Pokémon,0.8 m (2′07″),8.5 kg (18.7 lbs)
251,Celebi,"[""Psychic"", ""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/celebi.jpg,https://pokemondb.net/pokedex/celebi,Time Travel Pokémon,0.6 m (2′00″),5.0 kg (11.0 lbs)
252,Treecko,"[""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/treecko.jpg,https://pokemondb.net/pokedex/treecko,Wood Gecko Pokémon,0.5 m (1′08″),5.0 kg (11.0 lbs)
253,Grovyle,"[""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/grovyle.jpg,https://pokemondb.net/pokedex/grovyle,Wood Gecko Pokémon,0.9 m (2′11″),21.6 kg (47.6 lbs)
254,Sceptile,"[""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/sceptile.jpg,https://pokemondb.net/pokedex/sceptile,Forest Pokémon,1.7 m (5′07″),52.2 kg (115.1 lbs)
270,Lotad,"[""Water"", ""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/lotad.jpg,https://pokemondb.net/pokedex/lotad,Water Weed Pokémon,0.5 m (1′08″),2.6 kg (5.7 lbs)
271,Lombre,"[""Water"", ""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/lombre.jpg,https://pokemondb.net/pokedex/lombre,Jolly Pokémon,1.2 m (3′11″),32.5 kg (71.7 lbs)
272,Ludicolo,"[""Water"", ""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/ludicolo.jpg,https://pokemondb.net/pokedex/ludicolo,Carefree Pokémon,1.5 m (4′11″),55.0 kg (121.3 lbs)
273,Seedot,"[""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/seedot.jpg,https://pokemondb.net/pokedex/seedot,Acorn Pokémon,0.5 m (1′08″),4.0 kg (8.8 lbs)
274,Nuzleaf,"[""Grass"", ""Dark""]",https://img.pokemondb.net/sprites/home/normal/2x/nuzleaf.jpg,https://pokemondb.net/pokedex/nuzleaf,Wily Pokémon,1.0 m (3′03″),28.0 kg (61.7 lbs)
275,Shiftry,"[""Grass"", ""Dark""]",https://img.pokemondb.net/sprites/home/normal/2x/shiftry.jpg,https://pokemondb.net/pokedex/shiftry,Wicked Pokémon,1.3 m (4′03″),59.6 kg (131.4 lbs)
285,Shroomish,"[""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/shroomish.jpg,https://pokemondb.net/pokedex/shroomish,Mushroom Pokémon,0.4 m (1′04″),4.5 kg (9.9 lbs)
286,Breloom,"[""Grass"", ""Fighting""]",https://img.pokemondb.net/sprites/home/normal/2x/breloom.jpg,https://pokemondb.net/pokedex/breloom,Mushroom Pokémon,1.2 m (3′11″),39.2 kg (86.4 lbs)
315,Roselia,"[""Grass"", ""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/roselia.jpg,https://pokemondb.net/pokedex/roselia,Thorn Pokémon,0.3 m (1′00″),2.0 kg (4.4 lbs)
331,Cacnea,"[""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/cacnea.jpg,https://pokemondb.net/pokedex/cacnea,Cactus Pokémon,0.4 m (1′04″),51.3 kg (113.1 lbs)
332,Cacturne,"[""Grass"", ""Dark""]",https://img.pokemondb.net/sprites/home/normal/2x/cacturne.jpg,https://pokemondb.net/pokedex/cacturne,Scarecrow Pokémon,1.3 m (4′03″),77.4 kg (170.6 lbs)
345,Lileep,"[""Rock"", ""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/lileep.jpg,https://pokemondb.net/pokedex/lileep,Sea Lily Pokémon,1.0 m (3′03″),23.8 kg (52.5 lbs)
346,Cradily,"[""Rock"", ""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/cradily.jpg,https://pokemondb.net/pokedex/cradily,Barnacle Pokémon,1.5 m (4′11″),60.4 kg (133.2 lbs)
357,Tropius,"[""Grass"", ""Flying""]",https://img.pokemondb.net/sprites/home/normal/2x/tropius.jpg,https://pokemondb.net/pokedex/tropius,Fruit Pokémon,2.0 m (6′07″),100.0 kg (220.5 lbs)
387,Turtwig,"[""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/turtwig.jpg,https://pokemondb.net/pokedex/turtwig,Tiny Leaf Pokémon,0.4 m (1′04″),10.2 kg (22.5 lbs)
388,Grotle,"[""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/grotle.jpg,https://pokemondb.net/pokedex/grotle,Grove Pokémon,1.1 m (3′07″),97.0 kg (213.8 lbs)
389,Torterra,"[""Grass"", ""Ground""]",https://img.pokemondb.net/sprites/home/normal/2x/torterra.jpg,https://pokemondb.net/pokedex/torterra,Continent Pokémon,2.2 m (7′03″),310.0 kg (683.4 lbs)
406,Budew,"[""Grass"", ""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/budew.jpg,https://pokemondb.net/pokedex/budew,Bud Pokémon,0.2 m (0′08″),1.2 kg (2.6 lbs)
407,Roserade,"[""Grass"", ""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/roserade.jpg,https://pokemondb.net/pokedex/roserade,Bouquet Pokémon,0.9 m (2′11″),14.5 kg (32.0 lbs)
413,Wormadam,"[""Bug"", ""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/wormadam.jpg,https://pokemondb.net/pokedex/wormadam,Bagworm Pokémon,0.5 m (1′08″),6.5 kg (14.3 lbs)
420,Cherubi,"[""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/cherubi.jpg,https://pokemondb.net/pokedex/cherubi,Cherry Pokémon,0.4 m (1′04″),3.3 kg (7.3 lbs)
421,Cherrim,"[""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/cherrim.jpg,https://pokemondb.net/pokedex/cherrim,Blossom Pokémon,0.5 m (1′08″),9.3 kg (20.5 lbs)
455,Carnivine,"[""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/carnivine.jpg,https://pokemondb.net/pokedex/carnivine,Bug Catcher Pokémon,1.4 m (4′07″),27.0 kg (59.5 lbs)
459,Snover,"[""Grass"", ""Ice""]",https://img.pokemondb.net/sprites/home/normal/2x/snover.jpg,https://pokemondb.net/pokedex/snover,Frost Tree Pokémon,1.0 m (3′03″),50.5 kg (111.3 lbs)
460,Abomasnow,"[""Grass"", ""Ice""]",https://img.pokemondb.net/sprites/home/normal/2x/abomasnow.jpg,https://pokemondb.net/pokedex/abomasnow,Frost Tree Pokémon,2.2 m (7′03″),135.5 kg (298.7 lbs)
465,Tangrowth,"[""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/tangrowth.jpg,https://pokemondb.net/pokedex/tangrowth,Vine Pokémon,2.0 m (6′07″),128.6 kg (283.5 lbs)
470,Leafeon,"[""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/leafeon.jpg,https://pokemondb.net/pokedex/leafeon,Verdant Pokémon,1.0 m (3′03″),25.5 kg (56.2 lbs)
492,Shaymin,"[""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/shaymin.jpg,https://pokemondb.net/pokedex/shaymin,Gratitude Pokémon,0.2 m (0′08″),2.1 kg (4.6 lbs)
495,Snivy,"[""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/snivy.jpg,https://pokemondb.net/pokedex/snivy,Grass Snake Pokémon,0.6 m (2′00″),8.1 kg (17.9 lbs)
496,Servine,"[""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/servine.jpg,https://pokemondb.net/pokedex/servine,Grass Snake Pokémon,0.8 m (2′07″),16.0 kg (35.3 lbs)
497,Serperior,"[""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/serperior.jpg,https://pokemondb.net/pokedex/serperior,Regal Pokémon,3.3 m (10′10″),63.0 kg (138.9 lbs)
511,Pansage,"[""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/pansage.jpg,https://pokemondb.net/pokedex/pansage,Grass Monkey Pokémon,0.6 m (2′00″),10.5 kg (23.1 lbs)
512,Simisage,"[""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/simisage.jpg,https://pokemondb.net/pokedex/simisage,Thorn Monkey Pokémon,1.1 m (3′07″),30.5 kg (67.2 lbs)
540,Sewaddle,"[""Bug"", ""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/sewaddle.jpg,https://pokemondb.net/pokedex/sewaddle,Sewing Pokémon,0.3 m (1′00″),2.5 kg (5.5 lbs)
